"Company","City","location","latitude","longitude"
"Thribe BV","Schelle","Schelle",51.1245635,4.3361875
"Convious","Amsterdam","Amsterdam",52.3730796,4.8924534
"Hans Anders Nederland","Gorinchem","Gorinchem",51.8296133,4.9738743
"Solynta","Wageningen","Wageningen",51.9750995,5.6636754
"Vakmedianet","Zeist","Zeist",52.0892832,5.2276307
"INNAX GEBOUW & OMGEVING","Veenendaal","Veenendaal",52.0259814,5.5539239
"Fractal Analytics","Eindhoven","Eindhoven",51.4392648,5.478633
"Digital Power","Amsterdam Oost","Amsterdam Oost",52.3518137,4.9305528
"Universiteit Utrecht","Utrecht","Utrecht",52.0907006,5.1215634
"Exact","Delft","Delft",52.0114017,4.35839
"beslist.nl","Arnhem","Arnhem",51.984257,5.9108573
"Europol","Den Haag","Den Haag",52.0799838,4.3113461
"Macaw","Hoofddorp","Hoofddorp",52.305554,4.6926644
"Appsbroker","Utrecht","Utrecht",52.0907006,5.1215634
"FrieslandCampina","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"BaseClear","Leiden","Leiden",52.1594747,4.4908843
"iO","Den Bosch","Den Bosch",51.6889387,5.303116
"Panda","Leiden","Leiden",52.1594747,4.4908843
"Tiqets","Amsterdam","Amsterdam",52.3730796,4.8924534
"Appsbroker","Utrecht","Utrecht",52.0907006,5.1215634
"Appsbroker","Utrecht","Utrecht",52.0907006,5.1215634
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"Naktuinbouw","Roelofarendsveen","Roelofarendsveen",52.2027173,4.6312402
"De Volksbank","Utrecht","Utrecht",52.0907006,5.1215634
"Goossens","Veghel","Veghel",51.6134636,5.5446455
"The Sharing Group","Rotterdam","Rotterdam",51.9244424,4.47775
"Allianz BeNeLux","Rotterdam","Rotterdam",51.9244424,4.47775
"Kwantum","Tilburg","Tilburg",51.58561845,5.06606161313677
"Visser & Smit Hanab P&I","Papendrecht","Papendrecht",51.834667,4.70468825567437
"Gemeente Den Haag","Den Haag","Den Haag",52.0799838,4.3113461
"DotControl","Nederland","Nederland",52.2434979,5.6343227
"FrieslandCampina","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Signify","Eindhoven","Eindhoven",51.4392648,5.478633
"JEX","Rotterdam","Rotterdam",51.9244424,4.47775
"Essent","Den Bosch","Den Bosch",51.6889387,5.303116
"Kwantum","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"Merit Medical Systems Inc.","Maastricht","Maastricht",50.8512438,5.6909768
"Travix","Amsterdam","Amsterdam",52.3730796,4.8924534
"Visser & Smit Hanab","Papendrecht","Papendrecht",51.834667,4.70468825567437
"Kwantum","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"Recruit2, Talent Acquisition Specialists","Eindhoven","Eindhoven",51.4392648,5.478633
"Provincie Overijssel","Zwolle","Zwolle",52.5089759,6.0943765
"Vio.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"AllChiefs","Rotterdam","Rotterdam",51.9244424,4.47775
"Shimano","Eindhoven","Eindhoven",51.4392648,5.478633
"New10 B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"Homefashion Group","Tilburg","Tilburg",51.58561845,5.06606161313677
"Landal","Amsterdam","Amsterdam",52.3730796,4.8924534
"Roompot","Amsterdam","Amsterdam",52.3730796,4.8924534
"STX Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Recruit2, Talent Acquisition Specialists","Eindhoven","Eindhoven",51.4392648,5.478633
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"Caesar Groep","Utrecht","Utrecht",52.0907006,5.1215634
"Athora Netherlands","Amsterdam","Amsterdam",52.3730796,4.8924534
"Bosch Group","Eindhoven","Eindhoven",51.4392648,5.478633
"Landal","Amsterdam","Amsterdam",52.3730796,4.8924534
"Leen Bakker","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"Bitvavo","Amsterdam","Amsterdam",52.3730796,4.8924534
"Via","Nederland","Nederland",52.2434979,5.6343227
"Heeyoo","Veenendaal","Veenendaal",52.0259814,5.5539239
"Leen Bakker","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"Homefashion Group","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"JEX","Rotterdam","Rotterdam",51.9244424,4.47775
"Clink Diensten","Rotterdam","Rotterdam",51.9244424,4.47775
"UNO Automatiseringdiensten B.V.","Rijswijk","Rijswijk",52.0446265,4.3188215
"Roompot","Amsterdam","Amsterdam",52.3730796,4.8924534
"Lidl","Huizen","Huizen",52.29648445,5.24058204069026
"MSD","Haarlem","Haarlem",52.3885317,4.6388048
"Homefashion Group","Raamsdonksveer","Raamsdonksveer",51.6961345,4.8745894
"GLO Integration","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"Grandvision Support Office","Soesterberg","Soesterberg",52.1208994,5.2836057
"Zorgboodschap","Sassenheim","Sassenheim",52.2246356,4.5199218
"Recharge","Amsterdam","Amsterdam",52.3730796,4.8924534
"Leen Bakker","Tilburg","Tilburg",51.58561845,5.06606161313677
"Revalize","Thuiswerk","Thuiswerk",NA,NA
"HEMA","Amsterdam Noord","Amsterdam Noord",52.4097558,4.9319456
"B&S","Dordrecht","Dordrecht",51.814429,4.6692438
"VodafoneZiggo","Utrecht","Utrecht",52.0907006,5.1215634
"BeFrank","Amsterdam","Amsterdam",52.3730796,4.8924534
"APG","Amsterdam","Amsterdam",52.3730796,4.8924534
"Goudwisselkantoor","Klaaswaal","Klaaswaal",51.7683666,4.4444538
"ENGIE ENERGIE NEDERLAND N.V.","Zwolle","Zwolle",52.5089759,6.0943765
"Eneco","Rotterdam","Rotterdam",51.9244424,4.47775
"Infor","Barneveld","Barneveld",52.17150665,5.64543924995403
"Lely","Maassluis","Maassluis",51.9266671,4.24400065715733
"Allianz Direct","Rotterdam","Rotterdam",51.9244424,4.47775
"Stedin","Rotterdam","Rotterdam",51.9244424,4.47775
"Universiteit Leiden","Leiden","Leiden",52.1594747,4.4908843
"Mattel","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"Garmin","Oegstgeest","Oegstgeest",52.1833669,4.4721294029763
"Kuehne+Nagel","Tiel","Tiel",51.8874333,5.4372681
"MSD","Haarlem","Haarlem",52.3885317,4.6388048
"B&S","Farmsum","Farmsum",53.3226566,6.9286233
"Via","Amsterdam","Amsterdam",52.3730796,4.8924534
"De Heus Voeders","Ede","Ede",52.07168255,5.74551063103494
"GKN Aerospace","Papendrecht","Papendrecht",51.834667,4.70468825567437
"Plato Group","Helmond","Helmond",51.4736023,5.66703211598798
"Sligro","Veghel","Veghel",51.6134636,5.5446455
"CLdN RoRo Agencies B.V.","Rotterdam","Rotterdam",51.9244424,4.47775
"Playtika Ltd","Amsterdam","Amsterdam",52.3730796,4.8924534
"BridgeFund","Amsterdam","Amsterdam",52.3730796,4.8924534
"Garmin","Oegstgeest","Oegstgeest",52.1833669,4.4721294029763
"Quistor","Nederland","Nederland",52.2434979,5.6343227
"ID Logistics","Tilburg","Tilburg",51.58561845,5.06606161313677
"SodaStream","Thuiswerk","Thuiswerk",NA,NA
"DXC Technology","Amsterdam","Amsterdam",52.3730796,4.8924534
"GoodHabitz","Eindhoven","Eindhoven",51.4392648,5.478633
"Markteffect","Eindhoven","Eindhoven",51.4392648,5.478633
"Effectory","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"CBRE","Den Haag","Den Haag",52.0799838,4.3113461
"Mollie","Amsterdam","Amsterdam",52.3730796,4.8924534
"Kraft Heinz Company","Utrecht","Utrecht",52.0907006,5.1215634
"Avery Dennison","Oegstgeest","Oegstgeest",52.1833669,4.4721294029763
"Scildon","Hilversum","Hilversum",52.2241375,5.1719396
"TU Eindhoven","Eindhoven","Eindhoven",51.4392648,5.478633
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Ordina","Groningen","Groningen",53.2190652,6.5680077
"Justitiële Informatiedienst","Almelo","Almelo",52.3563585,6.6636219
"EyeOn","Nederland","Nederland",52.2434979,5.6343227
"FrieslandCampina","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Kraft Heinz Company","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Stichting BKR","Tiel","Tiel",51.8874333,5.4372681
"ABN AMRO","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"NS","Utrecht","Utrecht",52.0907006,5.1215634
"Matrixian Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Fluke","Eindhoven","Eindhoven",51.4392648,5.478633
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"Pon Equipment B.V.","Almere","Almere",52.3705038,5.2185859
"Stora Enso","De Lier","De Lier",51.9751843,4.2471322
"ASML","Eindhoven","Eindhoven",51.4392648,5.478633
"Data Analytics","Rotterdam","Rotterdam",51.9244424,4.47775
"Moore DRV","Bergen op Zoom","Bergen op Zoom",51.4944756,4.2871541
"Adroit People Ltd.","Amsterdam","Amsterdam",52.3730796,4.8924534
"Infinitas Learning","Utrecht","Utrecht",52.0907006,5.1215634
"Vertom B.V.","Rhoon","Rhoon",51.8569948,4.4236815
"YoungOnes","Breda","Breda",51.5887845,4.7760237
"de Rechtspraak","Utrecht","Utrecht",52.0907006,5.1215634
"Trivium Packaging","Schiphol","Schiphol",52.3080392,4.7621975
"Reinaerde","Utrecht","Utrecht",52.0907006,5.1215634
"Dexter Energy","Amsterdam","Amsterdam",52.3730796,4.8924534
"LOGEX Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"valantic NL","Rotterdam","Rotterdam",51.9244424,4.47775
"Ventura Systems","Bolsward","Bolsward",53.0620178,5.5228964
"adesso Netherlands","Nieuwegein","Nieuwegein",52.0298704,5.09293337891924
"beslist.nl","Arnhem","Arnhem",51.984257,5.9108573
"Shimano","Eindhoven","Eindhoven",51.4392648,5.478633
"TP Vision","Amsterdam","Amsterdam",52.3730796,4.8924534
"TYPE2SOLUTIONS","Ridderkerk","Ridderkerk",51.8714812,4.5999778
"Albert Heijn","Zaandam","Zaandam",52.4424926,4.8298607
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Omoda","Amsterdam","Amsterdam",52.3730796,4.8924534
"CBRE","Amsterdam","Amsterdam",52.3730796,4.8924534
"Het Consultancyhuis","Utrecht","Utrecht",52.0907006,5.1215634
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"Beckman Coulter Diagnostics","Wijchen","Wijchen",51.82025285,5.69609034857165
"Genmab","Utrecht","Utrecht",52.0907006,5.1215634
"EcoTools","Wijk bij Duurstede","Wijk bij Duurstede",51.9751858,5.337435
"Accenture","Amsterdam","Amsterdam",52.3730796,4.8924534
"Zig Websoftware","Huizen","Huizen",52.29648445,5.24058204069026
"A-INSIGHTS","Amsterdam","Amsterdam",52.3730796,4.8924534
"AXI","Breda","Breda",51.5887845,4.7760237
"Batavia Biosciences B.V.","Leiden","Leiden",52.1594747,4.4908843
"Fluke","Utrecht (provincie)","Utrecht (provincie)",52.2790511,5.278355
"ReMark","Rotterdam","Rotterdam",51.9244424,4.47775
"Morningstar","Amsterdam","Amsterdam",52.3730796,4.8924534
"Ouster","Amsterdam","Amsterdam",52.3730796,4.8924534
"Ardena","Assen","Assen",52.9952273,6.560498
"KVK","Utrecht","Utrecht",52.0907006,5.1215634
"Oxbo","Roosendaal","Roosendaal",51.5331484,4.4561276
"Lemongrass Consulting","Nederland","Nederland",52.2434979,5.6343227
"E-luscious","Hilversum","Hilversum",52.2241375,5.1719396
"Action","Lelystad","Lelystad",52.5150949,5.4768915
"FAAC Technologies","Utrecht","Utrecht",52.0907006,5.1215634
"Scildon","Hilversum","Hilversum",52.2241375,5.1719396
"Forvis Mazars","Rotterdam","Rotterdam",51.9244424,4.47775
"Hunkemöller","Hilversum","Hilversum",52.2241375,5.1719396
"Yellowtail Group","Naarden","Naarden",52.2957628,5.1633636
"Stella Fietsen","Nunspeet","Nunspeet",52.3372909,5.79563642900503
"Topigs Norsvin","Den Bosch","Den Bosch",51.6889387,5.303116
"Informa Global Support","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"Mattel","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"Cushman & Wakefield","Amsterdam","Amsterdam",52.3730796,4.8924534
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"Lely","Maassluis","Maassluis",51.9266671,4.24400065715733
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"ZT Systems","Almelo","Almelo",52.3563585,6.6636219
"Rivas Zorggroep","Gorinchem","Gorinchem",51.8296133,4.9738743
"Alliander","Arnhem","Arnhem",51.984257,5.9108573
"Keyrock","Amsterdam","Amsterdam",52.3730796,4.8924534
"Atos","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"BridgeFund","Amsterdam","Amsterdam",52.3730796,4.8924534
"McDonalds","Utrecht","Utrecht",52.0907006,5.1215634
"Viatris","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"VodafoneZiggo","Amsterdam","Amsterdam",52.3730796,4.8924534
"Vio.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Achmea","Apeldoorn","Apeldoorn",52.17957375,5.93007746080725
"Mediahuis","Amsterdam","Amsterdam",52.3730796,4.8924534
"Macaw","Thuiswerk","Thuiswerk",NA,NA
"100% NL","Bussum","Bussum",52.2773656,5.1630646
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"PostNL","Den Haag","Den Haag",52.0799838,4.3113461
"Thales","Hengelo OV","Hengelo OV",52.2658726,6.7924049
"Harman International","Amsterdam","Amsterdam",52.3730796,4.8924534
"bunq","Amsterdam","Amsterdam",52.3730796,4.8924534
"Provincie Flevoland","Flevoland","Flevoland",52.4484375,5.4235397
"NEH","Leusden","Leusden",52.130355,5.4286989
"Translink","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Samskip","Rotterdam","Rotterdam",51.9244424,4.47775
"IT Solutions Worldwide","Nederland","Nederland",52.2434979,5.6343227
"Macaw","Thuiswerk","Thuiswerk",NA,NA
"DORC International","Zuidland","Zuidland",51.8220839,4.2577294
"Accenture","Amsterdam","Amsterdam",52.3730796,4.8924534
"Bertus","Capelle aan den IJssel","Capelle aan den IJssel",51.9312552,4.5883596
"YAYA","Halfweg","Halfweg",53.2917087,6.2442631
"Hunt & Hackett","Den Haag","Den Haag",52.0799838,4.3113461
"Foot Locker","Utrecht","Utrecht",52.0907006,5.1215634
"Delta Capita","Amsterdam-Zuidoost","Amsterdam-Zuidoost",52.2835706,4.9524489
"Lab Digital","Utrecht","Utrecht",52.0907006,5.1215634
"Ewals Cargo Care","Tegelen","Tegelen",51.3429314,6.1362198
"TenneT","Arnhem","Arnhem",51.984257,5.9108573
"Ministerie van Defensie","Utrecht","Utrecht",52.0907006,5.1215634
"NCC Group","Delft","Delft",52.0114017,4.35839
"Coolgradient","Amsterdam","Amsterdam",52.3730796,4.8924534
"Eaton","Hengelo OV","Hengelo OV",52.2658726,6.7924049
"MyParcel","Hoofddorp","Hoofddorp",52.305554,4.6926644
"Centraal Bureau voor de Statistiek","Heerlen","Heerlen",50.8775239,5.98150658545488
"HousingAnywhere","Rotterdam","Rotterdam",51.9244424,4.47775
"World Fuel Services","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"AWI Software","Hoofddorp","Hoofddorp",52.305554,4.6926644
"The Data Agency","Nieuwegein","Nieuwegein",52.0298704,5.09293337891924
"ICT Group","Nieuwegein","Nieuwegein",52.0298704,5.09293337891924
"Biyond BV","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Accell Group","Apeldoorn","Apeldoorn",52.17957375,5.93007746080725
"OneXillium","Woerden","Woerden",52.08701595,4.8766871986735
"IT Solutions Worldwide","Nederland","Nederland",52.2434979,5.6343227
"Accenture","Amsterdam","Amsterdam",52.3730796,4.8924534
"fizor.","Utrecht","Utrecht",52.0907006,5.1215634
"Mileway","Amsterdam","Amsterdam",52.3730796,4.8924534
"Equinix","Amsterdam Oost","Amsterdam Oost",52.3518137,4.9305528
"Redcare Pharmacy","Sevenum","Sevenum",51.4123504,6.0370021
"FTE Groep B.V.","Utrecht","Utrecht",52.0907006,5.1215634
"Renewi","Nederland","Nederland",52.2434979,5.6343227
"Rabobank","Eindhoven","Eindhoven",51.4392648,5.478633
"Capturum Software Group","Veenendaal","Veenendaal",52.0259814,5.5539239
"Qquest","Utrecht","Utrecht",52.0907006,5.1215634
"Avery Dennison","Leiden","Leiden",52.1594747,4.4908843
"Recharge","Amsterdam","Amsterdam",52.3730796,4.8924534
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"Allianz Direct","Rotterdam","Rotterdam",51.9244424,4.47775
"Intramed","Waddinxveen","Waddinxveen",52.0441134,4.6552471
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Accenture","Amsterdam","Amsterdam",52.3730796,4.8924534
"De Volksbank","Utrecht","Utrecht",52.0907006,5.1215634
"Aegon Asset Management","Den Haag","Den Haag",52.0799838,4.3113461
"Indorama","Rotterdam","Rotterdam",51.9244424,4.47775
"Hoogheemraadschap van Rijnland","Leiden","Leiden",52.1594747,4.4908843
"Careers in Motion","Geleen","Geleen",50.9673322,5.8277007
"Capturum Software Group","Veenendaal","Veenendaal",52.0259814,5.5539239
"IntoData","Amsterdam","Amsterdam",52.3730796,4.8924534
"Coolblue","Rotterdam","Rotterdam",51.9244424,4.47775
"De Volksbank","Utrecht","Utrecht",52.0907006,5.1215634
"FareHarbor","Amsterdam","Amsterdam",52.3730796,4.8924534
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Tencent","Amsterdam","Amsterdam",52.3730796,4.8924534
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"Hiscox","Amsterdam","Amsterdam",52.3730796,4.8924534
"Wolters Kluwer","Hoevelaken","Hoevelaken",52.1757138,5.4577033
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"NS","Utrecht","Utrecht",52.0907006,5.1215634
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Centraal Justitieel Incassobureau","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"Mediq Apotheken","Utrecht","Utrecht",52.0907006,5.1215634
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Centraal Justitieel Incassobureau","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"VML","Amsterdam","Amsterdam",52.3730796,4.8924534
"Nederlandse orde van advocaten","Den Haag","Den Haag",52.0799838,4.3113461
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Capgemini","Utrecht","Utrecht",52.0907006,5.1215634
"TVM Verzekeringen","Hoogeveen","Hoogeveen",52.7264258,6.49308148854467
"SAA Verzekeringen","Rotterdam","Rotterdam",51.9244424,4.47775
"Delta-N B.V.","Den Haag","Den Haag",52.0799838,4.3113461
"AWI Software","Veenendaal","Veenendaal",52.0259814,5.5539239
"Delta-N B.V.","Den Haag","Den Haag",52.0799838,4.3113461
"Digital Realty","Amsterdam","Amsterdam",52.3730796,4.8924534
"Henkel","Amsterdam","Amsterdam",52.3730796,4.8924534
"Vio.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Vion Foodgroup","Boxtel","Boxtel",51.5890603,5.31579544540688
"Uber","Amsterdam","Amsterdam",52.3730796,4.8924534
"Umbrio","Maarssen","Maarssen",52.1384846,5.040082
"STX Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"LOGEX Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"JACOBS DOUWE EGBERTS","Utrecht","Utrecht",52.0907006,5.1215634
"MBE - Netherlands","Amsterdam","Amsterdam",52.3730796,4.8924534
"Creative Fabrica","Amsterdam","Amsterdam",52.3730796,4.8924534
"iO","Den Bosch","Den Bosch",51.6889387,5.303116
"West Coast Supply Group","Leiden","Leiden",52.1594747,4.4908843
"De Volksbank","Utrecht","Utrecht",52.0907006,5.1215634
"Quooker","Ridderkerk","Ridderkerk",51.8714812,4.5999778
"JLG EMEA B.V.","Hoofddorp","Hoofddorp",52.305554,4.6926644
"Kramp GmbH","Varsseveld","Varsseveld",51.9438019,6.4636436
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"AMI Kappers","Deventer","Deventer",52.2694897,6.23648855066233
"Van Mossel Automotive Groep","Amsterdam-Zuidoost","Amsterdam-Zuidoost",52.2835706,4.9524489
"Validators B.V.","Amsterdam Noord","Amsterdam Noord",52.4097558,4.9319456
"WeareBLOX","Nijmegen","Nijmegen",51.8474946,5.8637771
"RedVenture","Leiden","Leiden",52.1594747,4.4908843
"Rojo Integrations","Breukelen","Breukelen",52.171959,5.002675
"Adroit People Ltd.","Amsterdam","Amsterdam",52.3730796,4.8924534
"CLEVER°FRANKE","Utrecht","Utrecht",52.0907006,5.1215634
"The Rent Company","Den Bosch","Den Bosch",51.6889387,5.303116
"Fabory","Tilburg","Tilburg",51.58561845,5.06606161313677
"Delta-N","Den Haag","Den Haag",52.0799838,4.3113461
"Koninklijke Gazelle","Dieren","Dieren",52.0526703,6.1014431
"SourceMonks","Dordrecht","Dordrecht",51.814429,4.6692438
"Northpool","Leiden","Leiden",52.1594747,4.4908843
